Frequency,Magnitude
0.0,2.9843372422741363
0.004975124378109453,20.215200584719412
0.009950248756218905,10.572893424519656
0.014925373134328358,5.291929246965711
0.01990049751243781,3.432213782238622
0.02487562189054726,2.8032884289646063
0.029850746268656716,1.8035714154449642
0.03482587064676617,1.4251123010118587
0.03980099502487562,1.2195824826482409
0.04477611940298507,0.9909036007581227
0.04975124378109452,0.7621661017486547
0.05472636815920398,0.5486893974924176
0.05970149253731343,0.44717615823061196
0.06467661691542288,0.37148706742502025
0.06965174129353234,0.31532888759531896
0.07462686567164178,0.26390237130801525
0.07960199004975124,0.18312503130044816
0.0845771144278607,0.1445412229028459
0.08955223880597014,0.13505622791285965
0.0945273631840796,0.11678892293049835
0.09950248756218905,0.0829715379800247
0.1044776119402985,0.058174051118208024
0.10945273631840796,0.04238283952703318
0.1144278606965174,0.01633905716669333
0.11940298507462686,0.0062237397749078955
0.12437810945273632,0.006510234720883575
0.12935323383084577,0.0023496974109540915
0.13432835820895522,0.0019410940214882753
0.13930348258706468,0.00013850479897648254
0.14427860696517414,0.0006675572310000517
0.14925373134328357,0.0005534891180412838
0.15422885572139303,0.00039180125436590816
0.15920398009950248,0.00039480029369851045
0.16417910447761194,0.0003732496374884386
0.1691542288557214,0.00033554284559031677
0.17412935323383083,0.00029027323022050284
0.1791044776119403,0.00027773000785256074
0.18407960199004975,0.0002492949689311409
0.1890547263681592,0.0002288286031761738
0.19402985074626866,0.000207859261224382
0.1990049751243781,0.0001919691797378225
0.20398009950248755,0.0001750605654713879
0.208955223880597,0.00016113180306340073
0.21393034825870647,0.0001482206408462235
0.21890547263681592,0.00013643196367644112
0.22388059701492538,0.00012567775373133772
0.2288557213930348,0.00011596469958371423
0.23383084577114427,0.00010697967978604514
0.23880597014925373,9.887100675171626e-05
0.24378109452736318,9.133536321346785e-05
0.24875621890547264,8.446750185346883e-05
0.2537313432835821,7.816313521156928e-05
0.25870646766169153,7.231937100680325e-05
0.263681592039801,6.697165808048032e-05
0.26865671641791045,6.201786163977113e-05
0.2736318407960199,5.7442943191713056e-05
0.27860696517412936,5.321566008573669e-05
0.2835820895522388,4.9295626746521504e-05
0.2885572139303483,4.5667468242957396e-05
0.2935323383084577,4.229772833839147e-05
0.29850746268656714,3.9170405786915327e-05
0.3034825870646766,3.6263602869849726e-05
0.30845771144278605,3.355980831237814e-05
0.31343283582089554,3.1043496737751295e-05
0.31840796019900497,2.8699707090464618e-05
0.3233830845771144,2.65154734945914e-05
0.3283582089552239,2.4478758410331872e-05
0.3333333333333333,2.2578677980769382e-05
0.3383084577114428,2.08053411731725e-05
0.34328358208955223,1.9149688733357397e-05
0.34825870646766166,1.76034894012945e-05
0.35323383084577115,1.6159210192142035e-05
0.3582089552238806,1.4809968731558236e-05
0.36318407960199006,1.3549471735039525e-05
0.3681592039800995,1.2371955813169258e-05
0.3731343283582089,1.1272144862509093e-05
0.3781094527363184,1.0245203135448095e-05
0.38308457711442784,9.286698502951872e-06
0.3880597014925373,8.392567270438685e-06
0.39303482587064675,7.559083270755605e-06
0.3980099502487562,6.7828299976168254e-06
0.40298507462686567,6.060675585142927e-06
0.4079601990049751,5.389750341457297e-06
0.4129353233830846,4.767426516521134e-06
0.417910447761194,4.191300156117911e-06
0.4228855721393035,3.6591747623189263e-06
0.42786069651741293,3.169046632163031e-06
0.43283582089552236,2.7190916858776593e-06
0.43781094527363185,2.3076536711639675e-06
0.4427860696517413,1.9332336010948565e-06
0.44776119402985076,1.5944803296681612e-06
0.4527363184079602,1.2901821670860858e-06
0.4577114427860696,1.0192594647338088e-06
0.4626865671641791,7.807580998656939e-07
0.46766169154228854,5.738438446641194e-07
0.472636815920398,3.977976597372469e-07
0.47761194029850745,2.5201231198722596e-07
0.4825870646766169,1.3599261205865247e-07
0.48756218905472637,4.9384765780962475e-08
0.4925373134328358,9.037317165480225e-09
0.4975124378109453,3.7281813960966256e-08
